id	word	token	category	table_name	column_name	alias	dotted_name	function_call	pseudocolumn	notes
kw_217	PASSING	2304	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_218	PATH	2305	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_219	PCTFREE	2181	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_220	PERCENT	2182	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_221	PIPE	2324	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_222	PIPELINED	2183	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_223	PIVOT	2184	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_224	PLAN	2185	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_225	PRAGMA	2186	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_226	PRECEDING	2292	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_227	PRIMARY	2187	nonreserved	allow	reject	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_228	PRIOR	2188	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_229	PRIVATE	2189	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_230	PRIVILEGES	2190	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_231	PROCEDURE	2191	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_232	PROFILE	2329	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_233	PUBLIC	2192	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_234	PURGE	2193	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_235	RAISE	2194	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_236	RANGE	2195	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_237	RAW	2196	type	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_238	READ	2197	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_239	RECORD	2198	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_240	RECURSIVE	2199	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
